"","Especies","Isla","Largo_pico_mm","Ancho_pico_mm","Largo_aleta_mm","Masa_corporal_g","Sexo","Año"
"55","Adelie","Biscoe",34.5,18.1,187,2900,"Femenino","2008"
"56","Adelie","Biscoe",41.4,18.6,191,3700,"Masculino","2008"
"57","Adelie","Biscoe",39,17.5,186,3550,"Femenino","2008"
"58","Adelie","Biscoe",40.6,18.8,193,3800,"Masculino","2008"
"59","Adelie","Biscoe",36.5,16.6,181,2850,"Femenino","2008"
"60","Adelie","Biscoe",37.6,19.1,194,3750,"Masculino","2008"
"61","Adelie","Biscoe",35.7,16.9,185,3150,"Femenino","2008"
"62","Adelie","Biscoe",41.3,21.1,195,4400,"Masculino","2008"
"63","Adelie","Biscoe",37.6,17,185,3600,"Femenino","2008"
"64","Adelie","Biscoe",41.1,18.2,192,4050,"Masculino","2008"
"65","Adelie","Biscoe",36.4,17.1,184,2850,"Femenino","2008"
"66","Adelie","Biscoe",41.6,18,192,3950,"Masculino","2008"
"67","Adelie","Biscoe",35.5,16.2,195,3350,"Femenino","2008"
"68","Adelie","Biscoe",41.1,19.1,188,4100,"Masculino","2008"
"69","Adelie","Torgersen",35.9,16.6,190,3050,"Femenino","2008"
"70","Adelie","Torgersen",41.8,19.4,198,4450,"Masculino","2008"
"71","Adelie","Torgersen",33.5,19,190,3600,"Femenino","2008"
"72","Adelie","Torgersen",39.7,18.4,190,3900,"Masculino","2008"
"73","Adelie","Torgersen",39.6,17.2,196,3550,"Femenino","2008"
"74","Adelie","Torgersen",45.8,18.9,197,4150,"Masculino","2008"
"75","Adelie","Torgersen",35.5,17.5,190,3700,"Femenino","2008"
"76","Adelie","Torgersen",42.8,18.5,195,4250,"Masculino","2008"
"77","Adelie","Torgersen",40.9,16.8,191,3700,"Femenino","2008"
"78","Adelie","Torgersen",37.2,19.4,184,3900,"Masculino","2008"
"79","Adelie","Torgersen",36.2,16.1,187,3550,"Femenino","2008"
"80","Adelie","Torgersen",42.1,19.1,195,4000,"Masculino","2008"
"81","Adelie","Torgersen",34.6,17.2,189,3200,"Femenino","2008"
"82","Adelie","Torgersen",42.9,17.6,196,4700,"Masculino","2008"
"83","Adelie","Torgersen",36.7,18.8,187,3800,"Femenino","2008"
"84","Adelie","Torgersen",35.1,19.4,193,4200,"Masculino","2008"
"85","Adelie",NA,37.3,17.8,191,3350,"Femenino","2008"
"86","Adelie",NA,41.3,20.3,194,3550,"Masculino","2008"
"87","Adelie",NA,36.3,19.5,190,3800,"Masculino","2008"
"88","Adelie",NA,36.9,18.6,189,3500,"Femenino","2008"
"89","Adelie",NA,38.3,19.2,189,3950,"Masculino","2008"
"90","Adelie",NA,38.9,18.8,190,3600,"Femenino","2008"
"91","Adelie",NA,35.7,18,202,3550,"Femenino","2008"
"92","Adelie",NA,41.1,18.1,205,4300,"Masculino","2008"
"93","Adelie",NA,34,17.1,185,3400,"Femenino","2008"
"94","Adelie",NA,39.6,18.1,186,4450,"Masculino","2008"
"95","Adelie",NA,36.2,17.3,187,3300,"Femenino","2008"
"96","Adelie",NA,40.8,18.9,208,4300,"Masculino","2008"
"97","Adelie",NA,38.1,18.6,190,3700,"Femenino","2008"
"98","Adelie",NA,40.3,18.5,196,4350,"Masculino","2008"
"99","Adelie",NA,33.1,16.1,178,2900,"Femenino","2008"
"100","Adelie",NA,43.2,18.5,192,4100,"Masculino","2008"
"101","Adelie","Biscoe",35,17.9,192,3725,"Femenino","2009"
"102","Adelie","Biscoe",41,20,203,4725,"Masculino","2009"
"103","Adelie","Biscoe",37.7,16,183,3075,"Femenino","2009"
"104","Adelie","Biscoe",37.8,20,190,4250,"Masculino","2009"
"105","Adelie","Biscoe",37.9,18.6,193,2925,"Femenino","2009"
"106","Adelie","Biscoe",39.7,18.9,184,3550,"Masculino","2009"
"107","Adelie","Biscoe",38.6,17.2,199,3750,"Femenino","2009"
"108","Adelie","Biscoe",38.2,20,190,3900,"Masculino","2009"
"109","Adelie","Biscoe",38.1,17,181,3175,"Femenino","2009"
"110","Adelie","Biscoe",43.2,19,197,4775,"Masculino","2009"
"111","Adelie","Biscoe",38.1,16.5,198,3825,"Femenino","2009"
"112","Adelie","Biscoe",45.6,20.3,191,4600,"Masculino","2009"
"113","Adelie","Biscoe",39.7,17.7,193,3200,"Femenino","2009"
"114","Adelie","Biscoe",42.2,19.5,197,4275,"Masculino","2009"
"115","Adelie","Biscoe",39.6,20.7,191,3900,"Femenino","2009"
"116","Adelie","Biscoe",42.7,18.3,196,4075,"Masculino","2009"
"117","Adelie","Torgersen",38.6,17,188,2900,"Femenino","2009"
"118","Adelie","Torgersen",37.3,20.5,199,3775,"Masculino","2009"
"119","Adelie","Torgersen",35.7,17,189,3350,"Femenino","2009"
"120","Adelie","Torgersen",41.1,18.6,189,3325,"Masculino","2009"
"121","Adelie","Torgersen",36.2,17.2,187,3150,"Femenino","2009"
"122","Adelie","Torgersen",37.7,19.8,198,3500,"Masculino","2009"
"123","Adelie","Torgersen",40.2,17,176,3450,"Femenino","2009"
"124","Adelie","Torgersen",41.4,18.5,202,3875,"Masculino","2009"
"125","Adelie","Torgersen",35.2,15.9,186,3050,"Femenino","2009"
"126","Adelie","Torgersen",40.6,19,199,4000,"Masculino","2009"
"127","Adelie","Torgersen",38.8,17.6,191,3275,"Femenino","2009"
"128","Adelie","Torgersen",41.5,18.3,195,4300,"Masculino","2009"
"129","Adelie","Torgersen",39,17.1,191,3050,"Femenino","2009"
"130","Adelie","Torgersen",44.1,18,210,4000,"Masculino","2009"
"131","Adelie","Torgersen",38.5,17.9,190,3325,"Femenino","2009"
"132","Adelie","Torgersen",43.1,19.2,197,3500,"Masculino","2009"
"133","Adelie",NA,36.8,18.5,193,3500,"Femenino","2009"
"134","Adelie",NA,37.5,18.5,199,4475,"Masculino","2009"
"135","Adelie",NA,38.1,17.6,187,3425,"Femenino","2009"
"136","Adelie",NA,41.1,17.5,190,3900,"Masculino","2009"
"137","Adelie",NA,35.6,17.5,191,3175,"Femenino","2009"
"138","Adelie",NA,40.2,20.1,200,3975,"Masculino","2009"
"139","Adelie",NA,37,16.5,185,3400,"Femenino","2009"
"140","Adelie",NA,39.7,17.9,193,4250,"Masculino","2009"
"141","Adelie",NA,40.2,17.1,193,3400,"Femenino","2009"
"142","Adelie",NA,40.6,17.2,187,3475,"Masculino","2009"
"143","Adelie",NA,32.1,15.5,188,3050,"Femenino","2009"
"144","Adelie",NA,40.7,17,190,3725,"Masculino","2009"
"145","Adelie",NA,37.3,16.8,192,3000,"Femenino","2009"
"146","Adelie",NA,39,18.7,185,3650,"Masculino","2009"
"147","Adelie",NA,39.2,18.6,190,4250,"Masculino","2009"
"148","Adelie",NA,36.6,18.4,184,3475,"Femenino","2009"
"149","Adelie",NA,36,17.8,195,3450,"Femenino","2009"
"150","Adelie",NA,37.8,18.1,193,3750,"Masculino","2009"
"151","Adelie",NA,36,17.1,187,3700,"Femenino","2009"
"152","Adelie",NA,41.5,18.5,201,4000,"Masculino","2009"
"153","Gentoo","Biscoe",46.1,13.2,211,4500,"Femenino","2007"
"154","Gentoo","Biscoe",50,16.3,230,5700,"Masculino","2007"
"155","Gentoo","Biscoe",48.7,14.1,210,4450,"Femenino","2007"
"156","Gentoo","Biscoe",50,15.2,218,5700,"Masculino","2007"
"157","Gentoo","Biscoe",47.6,14.5,215,5400,"Masculino","2007"
"158","Gentoo","Biscoe",46.5,13.5,210,4550,"Femenino","2007"
"159","Gentoo","Biscoe",45.4,14.6,211,4800,"Femenino","2007"
"160","Gentoo","Biscoe",46.7,15.3,219,5200,"Masculino","2007"
"161","Gentoo","Biscoe",43.3,13.4,209,4400,"Femenino","2007"
"162","Gentoo","Biscoe",46.8,15.4,215,5150,"Masculino","2007"
"163","Gentoo","Biscoe",40.9,13.7,214,4650,"Femenino","2007"
"164","Gentoo","Biscoe",49,16.1,216,5550,"Masculino","2007"
"165","Gentoo","Biscoe",45.5,13.7,214,4650,"Femenino","2007"
"166","Gentoo","Biscoe",48.4,14.6,213,5850,"Masculino","2007"
"167","Gentoo","Biscoe",45.8,14.6,210,4200,"Femenino","2007"
"168","Gentoo","Biscoe",49.3,15.7,217,5850,"Masculino","2007"
"169","Gentoo","Biscoe",42,13.5,210,4150,"Femenino","2007"
"170","Gentoo","Biscoe",49.2,15.2,221,6300,"Masculino","2007"
"171","Gentoo","Biscoe",46.2,14.5,209,4800,"Femenino","2007"
"172","Gentoo","Biscoe",48.7,15.1,222,5350,"Masculino","2007"
"173","Gentoo","Biscoe",50.2,14.3,218,5700,"Masculino","2007"
"174","Gentoo","Biscoe",45.1,14.5,215,5000,"Femenino","2007"
"175","Gentoo","Biscoe",46.5,14.5,213,4400,"Femenino","2007"
"176","Gentoo","Biscoe",46.3,15.8,215,5050,"Masculino","2007"
"177","Gentoo","Biscoe",42.9,13.1,215,5000,"Femenino","2007"
"178","Gentoo","Biscoe",46.1,15.1,215,5100,"Masculino","2007"
"179","Gentoo","Biscoe",44.5,14.3,216,4100,"Femenino","2007"
"180","Gentoo","Biscoe",47.8,15,215,5650,"Masculino","2007"
"181","Gentoo","Biscoe",48.2,14.3,210,4600,"Femenino","2007"
"182","Gentoo","Biscoe",50,15.3,220,5550,"Masculino","2007"
"183","Gentoo","Biscoe",47.3,15.3,222,5250,"Masculino","2007"
"184","Gentoo","Biscoe",42.8,14.2,209,4700,"Femenino","2007"
"185","Gentoo","Biscoe",45.1,14.5,207,5050,"Femenino","2007"
"186","Gentoo","Biscoe",59.6,17,230,6050,"Masculino","2007"
"187","Gentoo","Biscoe",49.1,14.8,220,5150,"Femenino","2008"
"188","Gentoo","Biscoe",48.4,16.3,220,5400,"Masculino","2008"
"189","Gentoo","Biscoe",42.6,13.7,213,4950,"Femenino","2008"
"190","Gentoo","Biscoe",44.4,17.3,219,5250,"Masculino","2008"
"191","Gentoo","Biscoe",44,13.6,208,4350,"Femenino","2008"
"192","Gentoo","Biscoe",48.7,15.7,208,5350,"Masculino","2008"
"193","Gentoo","Biscoe",42.7,13.7,208,3950,"Femenino","2008"
"194","Gentoo","Biscoe",49.6,16,225,5700,"Masculino","2008"
"195","Gentoo","Biscoe",45.3,13.7,210,4300,"Femenino","2008"
"196","Gentoo","Biscoe",49.6,15,216,4750,"Masculino","2008"
"197","Gentoo","Biscoe",50.5,15.9,222,5550,"Masculino","2008"
"198","Gentoo","Biscoe",43.6,13.9,217,4900,"Femenino","2008"
"199","Gentoo","Biscoe",45.5,13.9,210,4200,"Femenino","2008"
"200","Gentoo","Biscoe",50.5,15.9,225,5400,"Masculino","2008"
"201","Gentoo","Biscoe",44.9,13.3,213,5100,"Femenino","2008"
"202","Gentoo","Biscoe",45.2,15.8,215,5300,"Masculino","2008"
"203","Gentoo","Biscoe",46.6,14.2,210,4850,"Femenino","2008"
"204","Gentoo","Biscoe",48.5,14.1,220,5300,"Masculino","2008"
"205","Gentoo","Biscoe",45.1,14.4,210,4400,"Femenino","2008"
"206","Gentoo","Biscoe",50.1,15,225,5000,"Masculino","2008"
"207","Gentoo","Biscoe",46.5,14.4,217,4900,"Femenino","2008"
"208","Gentoo","Biscoe",45,15.4,220,5050,"Masculino","2008"
"209","Gentoo","Biscoe",43.8,13.9,208,4300,"Femenino","2008"
"210","Gentoo","Biscoe",45.5,15,220,5000,"Masculino","2008"
"211","Gentoo","Biscoe",43.2,14.5,208,4450,"Femenino","2008"
"212","Gentoo","Biscoe",50.4,15.3,224,5550,"Masculino","2008"
"213","Gentoo","Biscoe",45.3,13.8,208,4200,"Femenino","2008"
"214","Gentoo","Biscoe",46.2,14.9,221,5300,"Masculino","2008"
"215","Gentoo","Biscoe",45.7,13.9,214,4400,"Femenino","2008"
"216","Gentoo","Biscoe",54.3,15.7,231,5650,"Masculino","2008"
"217","Gentoo","Biscoe",45.8,14.2,219,4700,"Femenino","2008"
"218","Gentoo","Biscoe",49.8,16.8,230,5700,"Masculino","2008"
"219","Gentoo","Biscoe",46.2,14.4,214,4650,"Femenino","2008"
"220","Gentoo","Biscoe",49.5,16.2,229,5800,"Masculino","2008"
"221","Gentoo","Biscoe",43.5,14.2,220,4700,"Femenino","2008"
"222","Gentoo","Biscoe",50.7,15,223,5550,"Masculino","2008"
"223","Gentoo","Biscoe",47.7,15,216,4750,"Femenino","2008"
"224","Gentoo","Biscoe",46.4,15.6,221,5000,"Masculino","2008"
"225","Gentoo","Biscoe",48.2,15.6,221,5100,"Masculino","2008"
"226","Gentoo","Biscoe",46.5,14.8,217,5200,"Femenino","2008"
"227","Gentoo","Biscoe",46.4,15,216,4700,"Femenino","2008"
"228","Gentoo","Biscoe",48.6,16,230,5800,"Masculino","2008"
"229","Gentoo","Biscoe",47.5,14.2,209,4600,"Femenino","2008"
"230","Gentoo","Biscoe",51.1,16.3,220,6000,"Masculino","2008"
"231","Gentoo","Biscoe",45.2,13.8,215,4750,"Femenino","2008"
"232","Gentoo","Biscoe",45.2,16.4,223,5950,"Masculino","2008"
"233","Gentoo","Biscoe",49.1,14.5,212,4625,"Femenino","2009"
"234","Gentoo","Biscoe",52.5,15.6,221,5450,"Masculino","2009"
"235","Gentoo","Biscoe",47.4,14.6,212,4725,"Femenino","2009"
"236","Gentoo","Biscoe",50,15.9,224,5350,"Masculino","2009"
"237","Gentoo","Biscoe",44.9,13.8,212,4750,"Femenino","2009"
"238","Gentoo","Biscoe",50.8,17.3,228,5600,"Masculino","2009"
"239","Gentoo","Biscoe",43.4,14.4,218,4600,"Femenino","2009"
"240","Gentoo","Biscoe",51.3,14.2,218,5300,"Masculino","2009"
"241","Gentoo","Biscoe",47.5,14,212,4875,"Femenino","2009"
"242","Gentoo","Biscoe",52.1,17,230,5550,"Masculino","2009"
"243","Gentoo","Biscoe",47.5,15,218,4950,"Femenino","2009"
"244","Gentoo","Biscoe",52.2,17.1,228,5400,"Masculino","2009"
"245","Gentoo","Biscoe",45.5,14.5,212,4750,"Femenino","2009"
"246","Gentoo","Biscoe",49.5,16.1,224,5650,"Masculino","2009"
"247","Gentoo","Biscoe",44.5,14.7,214,4850,"Femenino","2009"
"248","Gentoo","Biscoe",50.8,15.7,226,5200,"Masculino","2009"
"249","Gentoo","Biscoe",49.4,15.8,216,4925,"Masculino","2009"
"250","Gentoo","Biscoe",46.9,14.6,222,4875,"Femenino","2009"
"251","Gentoo","Biscoe",48.4,14.4,203,4625,"Femenino","2009"
"252","Gentoo","Biscoe",51.1,16.5,225,5250,"Masculino","2009"
"253","Gentoo","Biscoe",48.5,15,219,4850,"Femenino","2009"
"254","Gentoo","Biscoe",55.9,17,228,5600,"Masculino","2009"
"255","Gentoo","Biscoe",47.2,15.5,215,4975,"Femenino","2009"
"256","Gentoo","Biscoe",49.1,15,228,5500,"Masculino","2009"
"257","Gentoo","Biscoe",47.3,13.8,216,4725,"Femenino","2009"
"258","Gentoo","Biscoe",46.8,16.1,215,5500,"Masculino","2009"
"259","Gentoo","Biscoe",41.7,14.7,210,4700,"Femenino","2009"
"260","Gentoo","Biscoe",53.4,15.8,219,5500,"Masculino","2009"
"261","Gentoo","Biscoe",43.3,14,208,4575,"Femenino","2009"
"262","Gentoo","Biscoe",48.1,15.1,209,5500,"Masculino","2009"
"263","Gentoo","Biscoe",50.5,15.2,216,5000,"Femenino","2009"
"264","Gentoo","Biscoe",49.8,15.9,229,5950,"Masculino","2009"
"265","Gentoo","Biscoe",43.5,15.2,213,4650,"Femenino","2009"
"266","Gentoo","Biscoe",51.5,16.3,230,5500,"Masculino","2009"
"267","Gentoo","Biscoe",46.2,14.1,217,4375,"Femenino","2009"
"268","Gentoo","Biscoe",55.1,16,230,5850,"Masculino","2009"
"269","Gentoo","Biscoe",44.5,15.7,217,4875,"Femenino","2009"
"270","Gentoo","Biscoe",48.8,16.2,222,6000,"Masculino","2009"
"271","Gentoo","Biscoe",47.2,13.7,214,4925,"Femenino","2009"
"272","Gentoo","Biscoe",50.8,15.9,222,4875,"Masculino","2009"
"273","Gentoo","Biscoe",46.8,14.3,215,4850,"Femenino","2009"
"274","Gentoo","Biscoe",50.4,15.7,222,5750,"Masculino","2009"
"275","Gentoo","Biscoe",45.2,14.8,212,5200,"Femenino","2009"
"276","Gentoo","Biscoe",49.9,16.1,213,5400,"Masculino","2009"
"277","Chinstrap",NA,46.5,17.9,192,3500,"Femenino","2007"
"278","Chinstrap",NA,50,19.5,196,3900,"Masculino","2007"
"279","Chinstrap",NA,51.3,19.2,193,3650,"Masculino","2007"
"280","Chinstrap",NA,45.4,18.7,188,3525,"Femenino","2007"
"281","Chinstrap",NA,52.7,19.8,197,3725,"Masculino","2007"
"282","Chinstrap",NA,45.2,17.8,198,3950,"Femenino","2007"
"283","Chinstrap",NA,46.1,18.2,178,3250,"Femenino","2007"
"284","Chinstrap",NA,51.3,18.2,197,3750,"Masculino","2007"
"285","Chinstrap",NA,46,18.9,195,4150,"Femenino","2007"
"286","Chinstrap",NA,51.3,19.9,198,3700,"Masculino","2007"
"287","Chinstrap",NA,46.6,17.8,193,3800,"Femenino","2007"
"288","Chinstrap",NA,51.7,20.3,194,3775,"Masculino","2007"
"289","Chinstrap",NA,47,17.3,185,3700,"Femenino","2007"
"290","Chinstrap",NA,52,18.1,201,4050,"Masculino","2007"
"291","Chinstrap",NA,45.9,17.1,190,3575,"Femenino","2007"
"292","Chinstrap",NA,50.5,19.6,201,4050,"Masculino","2007"
"293","Chinstrap",NA,50.3,20,197,3300,"Masculino","2007"
"294","Chinstrap",NA,58,17.8,181,3700,"Femenino","2007"
"295","Chinstrap",NA,46.4,18.6,190,3450,"Femenino","2007"
"296","Chinstrap",NA,49.2,18.2,195,4400,"Masculino","2007"
"297","Chinstrap",NA,42.4,17.3,181,3600,"Femenino","2007"
"298","Chinstrap",NA,48.5,17.5,191,3400,"Masculino","2007"
"299","Chinstrap",NA,43.2,16.6,187,2900,"Femenino","2007"
"300","Chinstrap",NA,50.6,19.4,193,3800,"Masculino","2007"
"301","Chinstrap",NA,46.7,17.9,195,3300,"Femenino","2007"
"302","Chinstrap",NA,52,19,197,4150,"Masculino","2007"
"303","Chinstrap",NA,50.5,18.4,200,3400,"Femenino","2008"
"304","Chinstrap",NA,49.5,19,200,3800,"Masculino","2008"
"305","Chinstrap",NA,46.4,17.8,191,3700,"Femenino","2008"
"306","Chinstrap",NA,52.8,20,205,4550,"Masculino","2008"
"307","Chinstrap",NA,40.9,16.6,187,3200,"Femenino","2008"
"308","Chinstrap",NA,54.2,20.8,201,4300,"Masculino","2008"
"309","Chinstrap",NA,42.5,16.7,187,3350,"Femenino","2008"
"310","Chinstrap",NA,51,18.8,203,4100,"Masculino","2008"
"311","Chinstrap",NA,49.7,18.6,195,3600,"Masculino","2008"
"312","Chinstrap",NA,47.5,16.8,199,3900,"Femenino","2008"
"313","Chinstrap",NA,47.6,18.3,195,3850,"Femenino","2008"
"314","Chinstrap",NA,52,20.7,210,4800,"Masculino","2008"
"315","Chinstrap",NA,46.9,16.6,192,2700,"Femenino","2008"
"316","Chinstrap",NA,53.5,19.9,205,4500,"Masculino","2008"
"317","Chinstrap",NA,49,19.5,210,3950,"Masculino","2008"
"318","Chinstrap",NA,46.2,17.5,187,3650,"Femenino","2008"
"319","Chinstrap",NA,50.9,19.1,196,3550,"Masculino","2008"
"320","Chinstrap",NA,45.5,17,196,3500,"Femenino","2008"
"321","Chinstrap",NA,50.9,17.9,196,3675,"Femenino","2009"
"322","Chinstrap",NA,50.8,18.5,201,4450,"Masculino","2009"
"323","Chinstrap",NA,50.1,17.9,190,3400,"Femenino","2009"
"324","Chinstrap",NA,49,19.6,212,4300,"Masculino","2009"
"325","Chinstrap",NA,51.5,18.7,187,3250,"Masculino","2009"
"326","Chinstrap",NA,49.8,17.3,198,3675,"Femenino","2009"
"327","Chinstrap",NA,48.1,16.4,199,3325,"Femenino","2009"
"328","Chinstrap",NA,51.4,19,201,3950,"Masculino","2009"
"329","Chinstrap",NA,45.7,17.3,193,3600,"Femenino","2009"
"330","Chinstrap",NA,50.7,19.7,203,4050,"Masculino","2009"
"331","Chinstrap",NA,42.5,17.3,187,3350,"Femenino","2009"
"332","Chinstrap",NA,52.2,18.8,197,3450,"Masculino","2009"
"333","Chinstrap",NA,45.2,16.6,191,3250,"Femenino","2009"
"334","Chinstrap",NA,49.3,19.9,203,4050,"Masculino","2009"
"335","Chinstrap",NA,50.2,18.8,202,3800,"Masculino","2009"
"336","Chinstrap",NA,45.6,19.4,194,3525,"Femenino","2009"
"337","Chinstrap",NA,51.9,19.5,206,3950,"Masculino","2009"
"338","Chinstrap",NA,46.8,16.5,189,3650,"Femenino","2009"
"339","Chinstrap",NA,45.7,17,195,3650,"Femenino","2009"
"340","Chinstrap",NA,55.8,19.8,207,4000,"Masculino","2009"
"341","Chinstrap",NA,43.5,18.1,202,3400,"Femenino","2009"
"342","Chinstrap",NA,49.6,18.2,193,3775,"Masculino","2009"
"343","Chinstrap",NA,50.8,19,210,4100,"Masculino","2009"
"344","Chinstrap",NA,50.2,18.7,198,3775,"Femenino","2009"
